Name of the product,Price_num
"EXCaliberPC [2025] MSI Titan 18 HX AI A2XWJG-614US Pro Extreme (Intel Core Ultra 9 285HX, 64GB DDR5 RAM, 10TB NVMe SSD, NVIDIA GeForce RTX 5090, 18"" UHD+ Mini LED, Windows 11 Pro) Gaming Laptop",6619.0
"EXCaliberPC [2025] ASUS ROG Strix Scar 16 G635LX-XS97 (Intel Core Ultra 9 275HX, 32GB DDR5 RAM, 2TB NVMe SSD, NVIDIA GeForce RTX 5090, 16"" 240Hz Mini LED, Windows 11 Pro) Gaming Laptop",4399.0
"MSI Raider 18 HX AI 18” 120Hz UHD+ Gaming Laptop: Intel Core U9-285HX, NVIDIA Geforce RTX 5080, 64GB DDR5, 4TB NVMe SSD, Thunderbolt 5, Wi-Fi 7, Win 11 Home: Black A2XWIG-014US",3999.0
"EXCaliberPC [2025] MSI Vector A18 HX A9WIG-076US (AMD Ryzen 9 9955HX, 96GB DDR5 RAM, 2X 2TB NVMe SSD, NVIDIA GeForce RTX 5080, 18"" QHD+ 240Hz, Windows 11 Pro) Gaming Laptop",3949.0
"EXCaliberPC [2025] MSI Vector A18 HX A9WIG-076US (AMD Ryzen 9 9955HX, 96GB DDR5 RAM, 2X 2TB NVMe SSD, NVIDIA GeForce RTX 5080, 18"" QHD+ 240Hz, Windows 11 Pro) Gaming Laptop",3949.0
"EXCaliberPC [2025] ASUS ROG Strix Scar 18 G835LW-XS97 (Intel Core Ultra 9 275HX, 96GB DDR5 RAM, 2TB NVMe SSD, NVIDIA GeForce RTX 5080, 18"" 240Hz Mini LED, Windows 11 Pro) Gaming Laptop",3899.0
"EXCaliberPC [2025] MSI Stealth 18 HX AI A2XWHG-029US Pro Extreme (Intel Core Ultra 9 275HX, 96GB DDR5 RAM, 2TB NVMe SSD, NVIDIA GeForce RTX 5070Ti, 18"" QHD+ 240Hz, Windows 11 Pro) Gaming Laptop",3539.0
"MSI Vector A18 HX 18” 240Hz QHD+ Gaming Laptop: AMD Ryzen 9-9955HX, NVIDIA Geforce RTX 5080, 64GB DDR5, 2TB NVMe SSD, Type C, Wi-Fi 7, Win 11 Pro: Cosmo Gray A9WIG-076US",3399.0
"ASUS ROG Strix SCAR 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5080, Intel® Core™ Ultra 9 275HX, 32GB DDR5-5600, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Windows 11 Pro",3399.0
"EXCaliberPC [2025] MSI Vector 16 HX AI A2XWIG-058US (Intel Core Ultra 9 275HX, 32GB DDR5 RAM, 2TB NVMe SSD, NVIDIA GeForce RTX 5080, 16"" QHD+ 240Hz, Windows 11 Pro) Gaming Laptop",3099.0
"MSI Vector 16 HX AI 16” 240Hz QHD+ Gaming Laptop: Intel Core Ultra 9-275HX, NVIDIA Geforce RTX 5080, 32GB DDR5, 2TB NVMe SSD, Thunderbolt 5, Wi-Fi 7, Win 11 Pro: Cosmo Gray A2XWIG-058US",2937.23
"[2024] ASUS ROG Zephyrus G16 GA605WV-XB96 Pro Extreme (AMD Ryzen AI 9 HX 370, 32GB RAM, 4TB NVMe SSD, NVIDIA GeForce RTX 4060, 16"" 240Hz OLED, Windows 11 Pro) Gaming Laptop - Platinum White",2575.0
"MSI Stealth 14 AI Studio 14” 165Hz FHD+ Gaming Laptop: Intel Core Ultra 9-185H, NVIDIA Geforce RTX 4060, 32GB DDR5, 1TB NVMe SSD, Thunderbolt 4, Win 11 Pro: Star Blue A1VFG-091US",1999.0
"OMEN by HP 2019 17-Inch Gaming Laptop, Intel i7-9750H, NVIDIA GeForce RTX 2070 (8 GB), 16 GB RAM, 512 GB Solid-State Drive, VR Ready, Windows 10 Home (17-cb0080nr, Shadow Black)",1999.0
"MSI Stealth 14 AI Studio 14” 165Hz FHD+ Gaming Laptop: Intel Core Ultra 9-185H, NVIDIA Geforce RTX 4060, 32GB DDR5, 1TB NVMe SSD, Thunderbolt 4, Win 11 Pro: Star Blue A1VFG-091US",1999.0
Microsoft Surface Laptop 4 13.5” Touch-Screen – Intel Core i7 - 16GB - 512GB Solid State Drive - Matte Black,1899.0
Microsoft Surface Laptop 4 13.5” Touch-Screen – Intel Core i7 - 16GB - 512GB Solid State Drive - Matte Black,1899.0
"Dell G16 7630 Gaming Laptop, 16"""" QHD Display, Intel Core i9-13900HX, 64 GB DDR5 RAM, 2 TB NVMe SSD, NVIDIA GeForce RTX 4070, Backlit Keyboard, Windows 11 Home, Metallic Nightshade, Dark Gray",1899.0
"Lenovo ThinkPad P16v Gen 2 Mobile Workstation Laptop (16"" 4K 100%DCI-P3, NVIDIA RTX 1000 Ada 6GB, Intel Ultra 7 155H, 64GB DDR5 RAM, 2TB SSD) 800 nits, 2 x Thunderbolt 4, 5MP IR Webcam, Win 11 Pro",1799.99
"GIGABYTE AORUS 15X: 15.6"" 16:9 Thin Bezel QHD 2560x1440 165Hz, NVIDIA GeForce RTX 4070 Laptop GPU 8GB GDDR6, Intel Core i9-13980HX, 16GB DDR5 RAM, 1TB SSD, Win11 Home (AORUS 15X ASF-D3US754SH), Black",1499.0
"MSI Summit 13 AI+ Evo (2024) 13.3"" FHD+ Professional Laptop: Intel Core Ultra 7-258V, ARC Graphics, 32GB LPDDR5X, 1TB NVMe SSD, Thunderbolt 4, Win 11 Pro: Ink Black A2VMTG-012US",1499.0
"Acer Predator Helios Neo 14 Gaming Laptop | 14.5"" WQXGA+ IPS 165Hz Display | AI-Powered | Intel Core Ultra 9 Processor 185H | NVIDIA GeForce RTX 4070 | 16GB LPDDR5X | 1TB Gen 4 SSD | PHN14-51-90NF",1399.0
"MSI Prestige A16 AI+ (2024) 16” QHD+ Business Laptop: AMD Ryzen AI 9-365, Radeon Graphics, 32GB LPDDR5x, 1TB NVMe SSD, Type-C, WiFi 7, Win 11 Home: Urban Silver A3HMG-016US",1399.0
"EXCaliberPC [2025] MSI Stealth 14 AI Studio A1VFG-068US (Intel Core Ultra 7 155H, 32GB DDR5 RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 4060, 14"" FHD+ 165Hz, Windows 11) Gaming Laptop",1399.0
"MSI Prestige A16 AI+ (2024) 16” QHD+ Business Laptop: AMD Ryzen AI 9-365, Radeon Graphics, 32GB LPDDR5x, 1TB NVMe SSD, Type-C, WiFi 7, Win 11 Home: Urban Silver A3HMG-016US",1399.0
"MSI Cyborg 15 AI A1VFK-099US 15.6"" Full HD 144Hz Gaming Laptop, Intel Core Ultra 7 155H 1.4GHz, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060 8GB, Windows 11 Pro, Translucent Black",1299.99
"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display Portatil Gamer, Core i7-13620H, NVIDIA GeForce RTX 4060,32GB RAM 2TB SSD, Lifetime Windows 11 Pro and Office Pro with Sound-Controlled Light",1269.0
"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display Portatil Gamer, Core i7-13620H, NVIDIA GeForce RTX 4060,32GB RAM 2TB SSD, Lifetime Windows 11 Pro and Office Pro with Sound-Controlled Light",1269.0
"MSI Ultralight Stealth 14 Gaming Laptop - 13th Gen Intel i7-13620H - Nvidia Geforce RTX 4060-14"" 165HZ FHD - Wi-Fi 6 - Thunderbolt 4 - Windows11 Home - HDMI Cable (32GB RAM | 2TB SSD)",1259.0
"MSI Prestige 13 AI+ Evo (2024) 13.3” 2.8K OLED Business Laptop: Intel Core Ultra 7-258V, Arc Graphics, 32GB LPDDR5x, 1TB NVMe SSD, Thunderbolt 4, WiFi 7, Win 11 Pro: Stellar Gray A2VMG-014US",1160.25
"Lenovo 2020-2021 ThinkPad P15 Gen 1 - High-End Workstation Laptop: Intel 10th Gen i9-10885H Octa-Core, 64GB RAM, 1TB NVMe SSD, 15.6"" FHD IPS HDR Display, Quadro RTX 4000, Win 10 Pro, Black",1089.99
